1.178273569199e+04   2.889717380972e+04   2.000000000000e+02   white
1.236354644327e+04   2.244149741203e+04   2.200000000000e+02   black
2.322055002705e+04   2.146095747391e+04   2.200000000000e+02   white
1.340916800240e+04   9.572494555983e+03   2.000000000000e+02   black
2.719051526043e+04   2.165319287020e+04   2.000000000000e+02   white
6.570371090658e+03   2.936657578050e+03   2.200000000000e+02   white
2.474933574327e+04   2.139188824559e+04   2.200000000000e+02   white
1.451721121186e+03   1.314947736924e+02   2.000000000000e+02   white
1.849552114564e+04   1.396882707447e+04   2.200000000000e+02   black
6.803637699427e+03   3.168685913473e+03   2.200000000000e+02   white
2.280399021559e+04   2.474405657787e+04   2.200000000000e+02   white
1.195083609255e+04   1.526030778541e+04   2.200000000000e+02   black
2.631935264425e+04   2.931870380632e+04   2.000000000000e+02   white
1.307460616721e+04   1.414094938263e+02   2.000000000000e+02   white
1.547513480074e+04   3.035291521195e+04   2.000000000000e+02   white
1.994307045597e+04   3.097055585340e+04   2.200000000000e+02   white
1.831074005006e+04   1.493793710283e+04   2.200000000000e+02   black
6.338247560735e+03   2.314942376207e+04   2.000000000000e+02   white
2.275851650993e+04   1.357633255572e+04   2.000000000000e+02   white
8.683871668998e+03   2.927925506689e+04   2.200000000000e+02   white
1.316412240710e+04   7.482527354022e+03   2.000000000000e+02   black
2.713666143262e+04   4.766493890263e+03   2.000000000000e+02   white
2.985153111051e+04   1.979869565396e+04   2.000000000000e+02   white
4.507029220624e+03   3.411648356020e+03   2.000000000000e+02   white
5.243485407526e+03   2.203013434188e+04   2.000000000000e+02   white
2.515137004894e+04   9.419786513163e+03   2.200000000000e+02   white
1.576647177764e+04   3.924501121995e+03   2.000000000000e+02   white
1.621211780160e+04   5.592625544062e+03   2.000000000000e+02   black
2.605194755038e+04   2.168052678239e+04   2.200000000000e+02   white
2.943699493228e+03   1.732320842171e+04   2.000000000000e+02   white
3.506492980920e+03   1.653695944433e+04   2.000000000000e+02   white
4.176044576145e+03   2.246634560935e+04   2.200000000000e+02   white
5.239876027407e+03   3.041167031256e+04   2.000000000000e+02   white
2.984783376453e+04   2.245253641411e+04   2.200000000000e+02   white
1.970149676779e+04   3.176151051235e+03   2.200000000000e+02   white
2.245519980712e+04   2.148593570582e+04   2.200000000000e+02   white
1.445777460175e+04   9.375661928046e+03   2.200000000000e+02   black
1.781590478134e+04   2.543093805478e+04   2.000000000000e+02   white
2.346906197408e+04   2.854965738943e+04   2.200000000000e+02   white
1.134960447069e+03   6.957104892159e+02   2.200000000000e+02   white
